model,valid_time,height_agl_m,mean_turbulence,p90_turbulence,high_risk_fraction,mean_uncertainty
model_d,2025-07-31 02:00:00,0.0,0.48637768626213074,0.6122099161148071,0.0480708412397217,0.2719915211200714
model_d,2025-07-31 02:00:00,50.0,0.5092431902885437,0.6321101784706116,0.06852203246890154,0.2958368957042694
model_d,2025-07-31 02:00:00,100.0,0.5447685718536377,0.6538510322570801,0.12460468058191018,0.2897435426712036
model_d,2025-07-31 02:00:00,150.0,0.5280311107635498,0.6398544907569885,0.07765830346475508,0.2795014977455139
model_d,2025-07-31 02:00:00,200.0,0.5368474125862122,0.6504612565040588,0.10134232904631386,0.28434911370277405
model_d,2025-07-31 02:00:00,250.0,0.548305332660675,0.6559858322143555,0.11849040691545436,0.2861765921115875
model_d,2025-07-31 02:00:00,300.0,0.5599722266197205,0.6567014455795288,0.12664277180406214,0.2872870862483978
model_d,2025-07-31 02:00:00,350.0,0.5586997270584106,0.6528148651123047,0.11068943706514864,0.2864120900630951
model_d,2025-07-31 02:00:00,400.0,0.5522205233573914,0.6484854817390442,0.09445498629559351,0.2863650321960449
model_d,2025-07-31 02:00:00,450.0,0.5482439398765564,0.6506034135818481,0.10253707217654087,0.28681880235671997
model_d,2025-07-31 02:00:00,500.0,0.548606276512146,0.650471568107605,0.10162344507695552,0.28830409049987793
model_d,2025-07-31 02:00:00,550.0,0.540170431137085,0.6412270069122314,0.06824091643825989,0.2897472381591797
model_d,2025-07-31 02:00:00,600.0,0.5331288576126099,0.6344871520996094,0.05320120879893176,0.2893534302711487
model_d,2025-07-31 02:00:00,650.0,0.5334798693656921,0.627811849117279,0.0397779183357931,0.2923455238342285
model_d,2025-07-31 02:00:00,700.0,0.523729681968689,0.6172258853912354,0.022770398481973434,0.29520875215530396
model_d,2025-07-31 02:00:00,750.0,0.5212419033050537,0.6128714084625244,0.0196078431372549,0.29640570282936096
model_d,2025-07-31 02:00:00,800.0,0.518531858921051,0.6054323315620422,0.012579942371213718,0.2985229790210724
model_d,2025-07-31 02:00:00,850.0,0.5173057317733765,0.6056843996047974,0.009487666034155597,0.3025225102901459
model_d,2025-07-31 02:00:00,900.0,0.516316831111908,0.6067978143692017,0.01033101412608054,0.3036210238933563
model_d,2025-07-31 02:00:00,950.0,0.5150073170661926,0.6075541973114014,0.011736594279288776,0.303959459066391
model_d,2025-07-31 02:00:00,1000.0,0.5180821418762207,0.607785165309906,0.013563848478459484,0.30746394395828247
model_d,2025-07-31 02:00:00,1050.0,0.5161101818084717,0.6094536781311035,0.015391102677630192,0.30838391184806824
model_d,2025-07-31 02:00:00,1100.0,0.517082691192627,0.6091099381446838,0.016375008784875956,0.308750182390213
model_d,2025-07-31 02:00:00,1150.0,0.5155149102210999,0.6076991558074951,0.0172183568768009,0.30883046984672546
model_d,2025-07-31 02:00:00,1200.0,0.5154120326042175,0.6091253757476807,0.0184131000070279,0.3125278055667877
model_d,2025-07-31 02:00:00,1250.0,0.51514732837677,0.6089861392974854,0.016304729777215546,0.3123461902141571
model_d,2025-07-31 02:00:00,1300.0,0.5130976438522339,0.6079322099685669,0.01686696183849884,0.312348872423172
model_d,2025-07-31 02:00:00,1350.0,0.5126510262489319,0.6071688532829285,0.01764003092276337,0.31261342763900757
model_d,2025-07-31 02:00:00,1400.0,0.510197103023529,0.6066965460777283,0.015812776723592662,0.31411102414131165
model_d,2025-07-31 02:00:00,1450.0,0.5061737895011902,0.6022826433181763,0.016375008784875956,0.3161957859992981
model_d,2025-07-31 02:00:00,1500.0,0.4986962080001831,0.594188392162323,0.008925433972872304,0.314906507730484
model_d,2025-07-31 02:00:00,1550.0,0.4961621165275574,0.5923551321029663,0.009417387026495186,0.31503936648368835
model_d,2025-07-31 02:00:00,1600.0,0.4905981123447418,0.5836401581764221,0.005341204582191299,0.31440529227256775
model_d,2025-07-31 02:00:00,1650.0,0.48634588718414307,0.5819970965385437,0.006184552674116241,0.31454548239707947
model_d,2025-07-31 02:00:00,1700.0,0.47792112827301025,0.5795355439186096,0.004849251528568416,0.3163295090198517
model_d,2025-07-31 02:00:00,1750.0,0.47107407450675964,0.5743326544761658,0.0031625553447185324,0.3153499960899353
model_d,2025-07-31 02:00:00,1800.0,0.47030895948410034,0.5747821927070618,0.0033031133600393563,0.31569159030914307
model_d,2025-07-31 02:00:00,1850.0,0.4683364927768707,0.5729269981384277,0.0035842293906810036,0.3156681954860687
model_d,2025-07-31 02:00:00,1900.0,0.46362540125846863,0.5670611262321472,0.0026706022910956495,0.31500527262687683
model_d,2025-07-31 02:00:00,1950.0,0.4615265130996704,0.5686619281768799,0.0029517183217372973,0.3159746527671814
model_d,2025-07-31 02:00:00,2000.0,0.460778146982193,0.5679290890693665,0.004427577482605946,0.3173609972000122
model_d,2025-07-31 02:30:00,0.0,0.4813307523727417,0.6161166429519653,0.053060650783610934,0.27240657806396484
model_d,2025-07-31 02:30:00,50.0,0.5114445686340332,0.6342748403549194,0.07414435308173449,0.29274165630340576
model_d,2025-07-31 02:30:00,100.0,0.550325334072113,0.6550361514091492,0.14350973364256098,0.2862861752510071
model_d,2025-07-31 02:30:00,150.0,0.5447200536727905,0.6575452089309692,0.12762667791130788,0.27597007155418396
model_d,2025-07-31 02:30:00,200.0,0.5581631660461426,0.672858476638794,0.17583807716635041,0.28074467182159424
model_d,2025-07-31 02:30:00,250.0,0.5670314431190491,0.6705601811408997,0.17970342258767305,0.2823692560195923
model_d,2025-07-31 02:30:00,300.0,0.5750702619552612,0.6699873208999634,0.1799845386183147,0.28388383984565735
model_d,2025-07-31 02:30:00,350.0,0.5711296796798706,0.6658967137336731,0.1675451542624218,0.28409186005592346
model_d,2025-07-31 02:30:00,400.0,0.5617415308952332,0.6611284017562866,0.1418933164663715,0.2853175103664398
model_d,2025-07-31 02:30:00,450.0,0.5541378259658813,0.6601557731628418,0.13746573898376555,0.287005215883255
model_d,2025-07-31 02:30:00,500.0,0.5544335842132568,0.6596046686172485,0.13367067257010332,0.2890765964984894
model_d,2025-07-31 02:30:00,550.0,0.5435114502906799,0.6478895545005798,0.09129243095087497,0.29103732109069824
model_d,2025-07-31 02:30:00,600.0,0.5402447581291199,0.6404332518577576,0.06781924239229742,0.2905414402484894
model_d,2025-07-31 02:30:00,650.0,0.5438910722732544,0.6334075927734375,0.0504603275001757,0.29423654079437256
model_d,2025-07-31 02:30:00,700.0,0.5393046140670776,0.6265037059783936,0.03598285192213086,0.29760417342185974
model_d,2025-07-31 02:30:00,750.0,0.5383657217025757,0.6249959468841553,0.035350340853187154,0.2987804710865021
model_d,2025-07-31 02:30:00,800.0,0.5355352163314819,0.618342936038971,0.024386815658162905,0.3012883961200714
model_d,2025-07-31 02:30:00,850.0,0.5357475280761719,0.6179071664810181,0.018202262984046664,0.30528756976127625
model_d,2025-07-31 02:30:00,900.0,0.534853458404541,0.61858069896698,0.019748401152575725,0.3061559498310089
model_d,2025-07-31 02:30:00,950.0,0.534253716468811,0.6190659403800964,0.02108370229812355,0.3069041073322296
model_d,2025-07-31 02:30:00,1000.0,0.5357411503791809,0.6187115907669067,0.021153981305783963,0.3107483983039856
model_d,2025-07-31 02:30:00,1050.0,0.5322573184967041,0.6185693740844727,0.023262351535596318,0.3116403818130493
model_d,2025-07-31 02:30:00,1100.0,0.5324996709823608,0.6181389093399048,0.025511279780729496,0.3120810091495514
model_d,2025-07-31 02:30:00,1150.0,0.5311970114707947,0.6172614097595215,0.02382458359687961,0.3122059404850006
model_d,2025-07-31 02:30:00,1200.0,0.5312788486480713,0.6158596873283386,0.023965141612200435,0.31484389305114746
model_d,2025-07-31 02:30:00,1250.0,0.5335965156555176,0.6184180378913879,0.025089605734767026,0.31473028659820557
model_d,2025-07-31 02:30:00,1300.0,0.5312142372131348,0.6180278658866882,0.025441000773069083,0.31478118896484375
