model,route,node_count,length_km,mean_turbulence,p90_turbulence,max_turbulence,high_risk_fraction,integrated_risk_km
model_d,optimal,155,179.75412260287632,0.3682390783102282,0.5313912630081177,0.6335898637771606,0.0,67.38660164301741
model_d,straight,150,176.7523086789974,0.5581418609619141,0.6491745948791504,0.6848825216293335,0.09333333333333334,98.81977578681047
model_e,optimal,166,195.31979516877885,0.41502916077937346,0.8042047321796417,0.8871920704841614,0.46987951807228917,73.89008756391577
model_e,straight,150,176.7523086789974,0.5974759050707023,0.8766003847122192,0.8822710514068604,0.62,105.76635009964433
