eventid,危害等级,危害得分,人员伤亡得分,财产损失得分,直接后果得分,行动复杂度得分,情境风险得分,数据完整率,数据质量,iyear,imonth,iday,country_txt,region_txt,city,nkill,nkillter,nwound,nwoundte,nhostkid,property,propextent,summary
200108110012,1,0.7923200642130928,0.8969635494009274,0.9066451230773716,0.9066451230773716,0.2785503255929501,0.7475840230814538,0.8,medium,2001,8,11,Angola,Sub-Saharan Africa,Unknown,259.0,0.0,160.0,0.0,,1,2.0,08/11/2001: A mine placed by the National Union for the Total Independence of Angola (UNITA) derailed a train carrying refugees between Luanda and Dondo in Angola. The militants stopped the train with an anti-tank mine then fired at the train cars. Approximately 259 people were killed outright or died later from the attack and more than 160 were wounded.
200511180002,1,0.8553477892271137,0.8934439976155495,0.9066451230773716,0.9066451230773716,0.4830239125268321,0.9627268419457642,0.8,medium,2005,11,18,Iraq,Middle East & North Africa,Khanaqin,77.0,2.0,90.0,0.0,,1,2.0,"11/18/2005: Two unidentified suicide bombers launched a coordinated attack against two Shi i mosques in Khanaqin, Iraq. The bombers blew themselves up upon entering the mosques killing at least 75 people and injuring 90 others. No group claimed responsibility for the coordinated strike."
200901170021,2,0.6997222049912055,0.4970632201044558,0.8132902461547432,0.8132902461547432,0.2785503255929501,0.5751100002566152,0.6,medium,2009,1,17,Democratic Republic of the Congo,Sub-Saharan Africa,Tora,400.0,0.0,,0.0,,1,3.0,"01/17/2009: On Saturday evening, in the village of Tora and Libombi, near Tora, Orientale, Democratic Republic of the Congo, assailants set fire to a church, killing hundreds of worshippers. The assailants then attacked residents of several homesteads with axes and similar weapons, killing several civilians at each homestead. The assailants also set fire to and damaged several residences and businesses. No group claimed responsibility, although it was widely believed the Lord's Resistance Army was responsible."
201402110015,1,0.729750474637473,0.5782140057622065,0.8599676846160574,0.8599676846160574,0.2785503255929501,0.5583626705422424,0.8,medium,2014,2,11,Iraq,Middle East & North Africa,Mosul,15.0,0.0,0.0,0.0,8.0,1,4.0,"02/11/2014: Assailants attacked an army camp providing security for an oil pipeline in Ayn al-Jahish village, Mosul district, Nineveh governorate, Iraq. At least 15 soldiers were killed in the attack, eight of whom were briefly kidnapped and beheaded. Islamic State of Iraq and the Levant (ISIL) claimed responsibility for the incident."
201405010071,1,0.7555109454092157,0.49082326399453124,0.8599676846160574,0.8599676846160574,0.2785503255929501,0.7214123019218818,0.4,low,2014,5,1,Central African Republic,Sub-Saharan Africa,Mala,30.0,,,,,1,4.0,"05/01/2014: Assailants attacked Mala town, Kemo prefecture, Central African Republic. At least 30 people were killed in the attack. No group claimed responsibility for the incident; however, sources attributed it Seleka."
201411070002,1,0.7903685097898867,0.5564678719975932,0.8132902461547432,0.8132902461547432,0.5905993808225396,0.868370639342649,0.8,medium,2014,11,7,Pakistan,South Asia,Chinari,5.0,0.0,2.0,0.0,,1,3.0,"11/07/2014: A roadside bomb detonated near a passenger van in Chinari village, Federally Administered Tribal Areas, Pakistan. Five people were killed and at least two others were injured in the blast. This was one of two related bombings in Chinari village on the same day; this second attack took place as first responders were evacuating the casualties from the first blast. Jamaat-ul-Ahrar claimed responsibility for the incidents, stating that it carried out the attacks in retaliation for security forces' alleged oppressive treatment of members of the Muslim community."
201412160041,3,0.5321614021326146,0.5985056653327617,0.0,0.5985056653327617,0.2785503255929501,0.4661700490306496,1.0,high,2014,12,16,Iraq,Middle East & North Africa,Fallujah,150.0,0.0,0.0,0.0,150.0,0,,"12/16/2014: Assailants killed 150 women in Fallujah city, Al Anbar governorate, Iraq. No group claimed responsibility for the incident; however, sources attributed the attack to Islamic State of Iraq and the Levant (ISIL), noting that the victims had refused to engage in a jihad marriage."
201508010015,4,0.29513338464993394,0.24046867271168193,0.0,0.24046867271168193,0.2785503255929501,0.5522371442109684,0.8,medium,2015,7,31,Turkey,Middle East & North Africa,Unknown,1.0,0.0,1.0,0.0,,0,,"07/31/2015: Assailants attacked police personnel in Osmaniye province, Turkey. One police officer was killed and one other was wounded in the attack. No group claimed responsibility; however, sources attributed the incident to the Kurdistan Workers' Party (PKK)."
201705080012,3,0.49282690533898577,0.4651427151409208,0.0,0.4651427151409208,0.48347735783652845,0.6238886111474373,0.8,medium,2017,5,7,Afghanistan,South Asia,Nawabad,50.0,40.0,20.0,20.0,,0,,"05/07/2017: Assailants attacked an unknown number of police posts along the Kunduz-Takhar Highway in Nawabad, Kunduz, Afghanistan. At least 50 people, including 10 police officers and 40 assailants, were killed and 20 additional assailants were injured in the ensuing clash, which lasted until May 10, 2017. The Taliban claimed responsibility for the incident."
