model,route,node_count,length_km,mean_turbulence,p90_turbulence,max_turbulence,high_risk_fraction,integrated_risk_km
model_d,optimal,155,179.7691132395768,0.3571023469009707,0.5135915398597717,0.5843948125839233,0.0,65.14493136191699
model_d,straight,150,176.7523086789974,0.5297841038306554,0.6157950282096862,0.6656914353370667,0.02,93.78474013403486
model_e,optimal,155,179.7228614200491,0.5035470155698638,0.8593832731246948,0.8748628497123718,0.5548387096774193,80.03383417181138
model_e,straight,150,176.7523086789974,0.5920216851929824,0.8867516279220581,0.899552583694458,0.62,104.82527366017334
