年份,事件数,累计危害,平均危害,一级事件数,有效坐标数,已知死亡记录数,已记录死亡人数,已知受伤记录数,已记录受伤人数,一级占比,坐标覆盖率,死亡信息覆盖率,事件数同比,有事件国家数
2015,14965,7057.898981921656,0.4716270619393021,3841,14861,14160,38853.0,13481,44043.0,0.2566655529568994,0.9930504510524557,0.946207818242566,,99
2016,13587,6311.560623342614,0.4645293753840152,3505,13530,12809,34871.0,12437,40001.0,0.2579671745050416,0.995804813424597,0.9427393832339737,-0.09208152355496158,108
2017,10900,4853.932555313197,0.44531491333148593,2499,10853,10285,26445.0,9941,24927.0,0.22926605504587155,0.9956880733944954,0.9435779816513762,-0.19776256715978513,102
