年份,网格经度数,网格纬度数,每格面积平方公里,空间事件数,活跃格数,前十格事件占比,HHI,相邻年持续格数,相对上年新增格数,相对上年消失格数,相邻年Jaccard,新增格事件数
2015,90,45,125942.19283280785,14861,373,0.42217885741201805,0.029016394394982086,,,,,
2016,90,45,125942.19283280785,13530,388,0.46252771618625277,0.03343283027670028,286.0,102.0,87.0,0.6021052631578947,210.0
2017,90,45,125942.19283280785,10853,385,0.4332442642587303,0.02923936591666446,294.0,91.0,94.0,0.6137787056367432,228.0
2015,180,90,31485.548208201963,14861,723,0.301796648946908,0.019945694105167753,,,,,
2016,180,90,31485.548208201963,13530,759,0.3622320768662232,0.024059425032871576,529.0,230.0,194.0,0.5550891920251836,433.0
2017,180,90,31485.548208201963,10853,736,0.3258085322030775,0.018267413849957677,515.0,221.0,244.0,0.5255102040816326,425.0
2015,360,180,7871.387052050491,14861,1331,0.2271045017159007,0.015041979685325819,,,,,
2016,360,180,7871.387052050491,13530,1356,0.27354028085735405,0.018537437541277246,860.0,496.0,471.0,0.47071702244116037,843.0
2017,360,180,7871.387052050491,10853,1288,0.23818299087809822,0.011252142829387088,820.0,468.0,536.0,0.44956140350877194,906.0
