地区,模型,月份,实际事件数,预测事件数
北美,低阶SARIMA,2015-01-01,2,5.719018171083933
北美,低阶SARIMA,2015-02-01,5,3.9190269630554315
北美,低阶SARIMA,2015-03-01,2,4.719033048815649
北美,低阶SARIMA,2015-04-01,1,5.919046613063708
北美,低阶SARIMA,2015-05-01,3,7.3190242105327465
北美,低阶SARIMA,2015-06-01,9,4.71904148618691
北美,低阶SARIMA,2015-07-01,7,3.5190246142688597
北美,低阶SARIMA,2015-08-01,5,3.919027416915114
北美,低阶SARIMA,2015-09-01,3,3.7190342370950624
北美,低阶SARIMA,2015-10-01,10,4.719034534384017
