地区,模型,有效,MAE,RMSE,WAPE,偏差_预测减实际,入选
北美,季节朴素,True,2.85,3.5753787678137448,0.6979591836734694,-1.05,False
北美,近12月均值,True,2.422222222222222,3.2425127430572864,0.5931972789115646,-1.0500000000000003,True
北美,阻尼季节ETS,True,2.7207409090701677,3.4177446972957175,0.6663038960988166,-0.6826962362519822,False
北美,低阶SARIMA,True,2.805316198102922,3.3572670579785098,0.6870162117803075,-0.17047437628436155,False
中美洲与加勒比,季节朴素,True,0.7,1.35400640077266,1.75,-0.03333333333333333,False
中美洲与加勒比,近12月均值,True,0.5888888888888889,1.0421665467242323,1.4722222222222223,-0.033333333333333305,True
中美洲与加勒比,阻尼季节ETS,True,0.6848012516525888,1.1194236587127677,1.712003129131472,0.068419213685684,False
中美洲与加勒比,低阶SARIMA,True,0.8508570156245115,1.5341729790737266,2.127142539061279,0.265617097386558,False
南美,季节朴素,True,9.15,11.625403218813531,0.5884244372990354,-0.8833333333333333,False
南美,近12月均值,True,6.805555555555555,9.018037480516478,0.4376563058235084,-0.8833333333333335,True
南美,阻尼季节ETS,True,7.751982283655505,10.100085225798074,0.4985197610067849,-2.469002465609179,False
南美,低阶SARIMA,True,9.014692577918787,11.600863628378017,0.5797229953645522,-2.1757229641330675,False
东亚,季节朴素,True,1.9,2.786873995477131,1.163265306122449,-0.06666666666666667,False
东亚,近12月均值,True,1.6444444444444444,2.223610677354389,1.0068027210884354,-0.06666666666666657,True
东亚,阻尼季节ETS,True,1.8035618650051781,2.4165027730985202,1.1042215500031702,-0.04261242886773493,False
东亚,低阶SARIMA,True,1.8217892197991996,2.421179874138181,1.1153811549791017,0.15135261386682977,False
东南亚,季节朴素,True,29.383333333333333,36.46070944637986,0.35217738713543745,-12.016666666666667,False
东南亚,近12月均值,True,26.244444444444447,32.73761428218142,0.3145558662937808,-12.016666666666664,False
东南亚,阻尼季节ETS,True,24.595565778572443,31.777206778308933,0.29479303769763215,-8.092951557102928,True
东南亚,低阶SARIMA,True,26.973178221571864,34.27632145740309,0.32329019043034596,-1.3377236269029646,False
南亚,季节朴素,True,81.95,98.53958595407228,0.22724961870869345,-25.016666666666666,False
南亚,近12月均值,True,82.97499999999997,97.57333424432905,0.23009197208485457,-25.016666666666673,False
南亚,阻尼季节ETS,True,74.12421175950549,89.4017367122956,0.2055484912682132,-14.403054837216045,False
南亚,低阶SARIMA,True,70.87875777573758,84.43896701017664,0.19654875752388293,-1.5002499756605678,True
中亚,季节朴素,True,1.1666666666666667,1.6931233465600393,1.2727272727272727,-0.13333333333333333,False
中亚,近12月均值,True,0.8666666666666667,1.1624925328314537,0.9454545454545454,-0.1333333333333333,True
中亚,阻尼季节ETS,True,0.9292243633392807,1.195570267993705,1.0136993054610335,-0.05246379634443162,False
中亚,低阶SARIMA,True,0.9314587855801074,1.2252147177594663,1.0161368569964808,-0.1288572239460721,False
西欧,季节朴素,True,11.366666666666667,14.212670403551895,0.5349019607843137,-2.966666666666667,False
西欧,近12月均值,True,7.816666666666666,11.043034506471086,0.367843137254902,-2.9666666666666663,True
西欧,阻尼季节ETS,True,10.220442806124675,13.93818599472062,0.48096201440586706,1.6639688362852278,False
西欧,低阶SARIMA,True,10.525130992211814,14.320436410090101,0.49530028198643833,2.481457442209842,False
东欧,季节朴素,True,40.2,58.96524400017353,1.1388101983002832,1.0666666666666667,False
东欧,近12月均值,True,32.38611111111111,47.058238149953915,0.9174535725527228,1.066666666666667,False
东欧,阻尼季节ETS,True,30.286455960487686,46.087613651265734,0.8579732566710393,-1.1996984118755771,True
东欧,低阶SARIMA,True,40.399909375347654,65.73215530209266,1.144473353409282,8.777706813712133,False
中东与北非,季节朴素,True,129.2,179.18509982696665,0.29749021413769283,-74.2,False
中东与北非,近12月均值,True,111.81666666666666,151.60063580927942,0.2574641185048737,-74.2,False
中东与北非,阻尼季节ETS,True,140.79522558573538,193.5367674193612,0.32418886849121664,-39.85329726232043,False
中东与北非,低阶SARIMA,True,98.6173773346467,137.4531272011235,0.2270720178094559,-27.108813072833655,True
撒哈拉以南非洲,季节朴素,True,51.88333333333333,68.12378439282422,0.3649900340016415,-26.383333333333333,False
撒哈拉以南非洲,近12月均值,True,47.95833333333333,63.79015075490364,0.33737835619650597,-26.38333333333334,False
撒哈拉以南非洲,阻尼季节ETS,True,43.857386112842974,57.244801869221035,0.30852892094859635,-13.592762040535654,True
撒哈拉以南非洲,低阶SARIMA,True,49.064425291426105,60.579567482252024,0.3451595166473873,-5.778232075803626,False
大洋洲,季节朴素,True,0.6333333333333333,1.0327955589886444,1.1176470588235294,-0.16666666666666666,False
大洋洲,近12月均值,True,0.47222222222222227,0.767390962214756,0.8333333333333334,-0.16666666666666669,True
大洋洲,阻尼季节ETS,True,0.5616434245035887,0.8571726557179833,0.9911354550063332,0.08599295707533412,False
大洋洲,低阶SARIMA,True,0.5572534440867903,0.8823923913283829,0.9833884307413948,0.025402858757043477,False
全球,季节朴素,True,261.65,319.55596797222654,0.23782039629158336,-141.85,False
全球,近12月均值,True,260.6333333333334,301.78315660604903,0.23689632188087018,-141.85,False
全球,阻尼季节ETS,True,231.52172504637477,262.7467625011552,0.21043603439954078,-127.011498874144,False
全球,低阶SARIMA,True,222.457554175351,247.47557974977212,0.20219737699995544,-21.73357384207268,False
全球,地区加总,True,198.9565132487091,227.87364849464646,0.18083667810280774,-56.79447505800839,True
